0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,desno
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,desno
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,desno
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,desno
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,desno
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,desno
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,desno
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,desno
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,desno
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,desno_rot
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,desno_rot
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,desno_rot
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,desno_rot
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,desno_rot
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,desno_rot
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,desno_rot
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,desno_rot
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,desno_rot
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dijag_desno
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,dijag_desno
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,dijag_desno
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,dijag_desno
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,dijag_desno
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,dijag_desno
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,dijag_lijevo
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dijag_lijevo
